price,dist_from_cent
24457,.29247832
37025,.12402684
97452,.075672366
29149,.21910237
56449,.033970516
61020,.061880969
67523,.067032851
57972,.13247891
41704,.061170183
65651,.063477136
57098,.086615644
47455,.09632995
26065,.32957783
84897,.095897615
49960,.088609919
48736,.077054277
52110,.099918887
64227,.070173666
107693,.099594012
57946,.093828991
40600,.1786983
39556,.1786983
36611,.063056201
46704,.10998849
51851,.039597094
44512,.064357698
23254,.22155219
35088,.263493
56180,.11929975
36411,.22103018
43422,.084544994
24856,.1595183
20690,.38864535
37500,.085438937
17950,.29842964
28060,.20479365
61471,.12406052
77668,.093500972
40793,.11753294
83871,.090818308
71662,.087682709
61321,.091339074
48000,.090410851
25455,.34348363
62054,.0785679
12821,.37759188
10257,.37759188
25046,.20213325
95148,.043853492
23311,.33381167
32408,.15621954
28236,.14983308
30445,.11059371
30494,.25667328
38062,.067025907
79699,.027066357
15076,.32913849
27733,.33381167
75347,.082610674
26949,.20376088
90298,.047498636
59891,.045753937
57902,.14925975
52000,.075962484
29061,.19067228
20422,.13453241
26572,.27224958
44596,.11260749
119116,.044183794
71229,.083207011
92734,.038613662
67115,.12352856
62006,.16575631
21364,.38864535
19630,.14014469
52849,.062159024
61586,.094622955
16667,.27658826
54598,.28177112
34416,.10937695
26815,.32266912
23295,.3448211
37897,.11911976
56558,.036243632
80602,.098538488
60481,.038606659
20233,.19091891
24065,.12223553
82835,.07937713
66652,.045753937
21085,.2512823
82453,.097233877
30851,.081515931
22186,.342904
64656,.049425427
86488,.055266995
49673,.065234885
99185,.042182587
57050,.070650429
49145,.086272329
27939,.27091628
62201,.041930597
124753,.041326195
86498,.1135482
53631,.072302967
52284,.076252669
71140,.065991797
40000,.053430393
100588,.054471187
36624,.075282358
34483,.270291
67342,.1278083
99849,.051161315
39275,.11059371
67345,.049826182
94179,.064347759
25275,.12223553
54951,.096331753
92484,.059807997
95368,.098538488
52566,.1027535
20000,.17650905
